ordered_time,vendor,total_prices,item_detail
9月21日,統一超商 (吉安店),254,"1x (加熱出貨) 奶油蛋黃醬培根義大利麵 359g,1x (加熱出貨) 韓式椿醬拌麵 | 368 g,1x (加熱出貨)(蔬)輕滷時蔬 192g"
9月20日,豪餃子,319,"2x 韭菜五行水餃,1x 酸辣湯,1x 韓式泡菜冰花鍋貼"
9月19日,(極)黃燜雞米飯 (台北寧夏店),314,"1x 酸湯豬,1x 酸湯豬"
9月18日,肯德基KFC炸雞漢堡店 (台北雙連店),489,"1x 花生熔岩咔啦雞腿漢堡 XL 套餐,1x 闇黑海陸堡XL餐"
9月16日,老牌張豬腳,376,2x 腿庫便當
9月15日,女王漢堡,401,2x 女王漢堡套餐
9月13日,金菊雞肉飯 (台北合江店),316,"1x 【雙倍肉量】海南雞腿肉飯便當,1x 泰式海南雞腿肉飯便當"
9月11日,拉亞漢堡 (北市農安店),202,"1x 七龍珠Z芝加哥堡套餐,1x 黃金脆薯,1x 七龍珠Z芝加哥堡套餐"
9月6日,女王漢堡,401,2x 女王漢堡套餐
9月4日,(極)黃燜雞米飯 (台北寧夏店),338,"1x 酸湯豬,1x 酸湯豬"
9月3日,金菊雞肉飯 (台北合江店),316,"1x 【雙倍肉量】海南雞腿肉飯便當,1x 泰式海南雞腿肉飯便當"
9月2日,阿財魚翅肉羹,251,2x 雞絲便當
8月30日,麥當勞 (S117 台北民權二店),459,2x 套餐-蕈菇安格斯牛肉堡 Mushroom Angus Beef Burger Meal
8月29日,三商鮮五丼 (4843台北民權店),211,"2x 麻婆雙蝦菲力豬排丼,1x 蒜味時蔬,1x 胡麻花椰菜"
8月26日,金菊雞肉飯 (台北合江店),371,"1x 【雙倍肉量】海南雞腿肉飯便當,1x 泰式海南雞腿肉飯便當"
8月25日,(極)黃燜雞米飯 (台北寧夏店),466,"1x 酸湯魚,1x 川香麻辣肥腸"
8月24日,女王漢堡,440,2x 女王漢堡套餐
8月19日,金菊雞肉飯 (台北合江店),316,"1x 【雙倍肉量】海南雞腿肉飯便當,1x 泰式海南雞腿肉飯便當"
8月18日,拉亞漢堡 (北市農安店),278,"1x 黃金脆薯,1x 七龍珠Z芝加哥堡套餐,1x 七龍珠Z芝加哥堡套餐"
8月17日,金菊雞肉飯 (台北合江店),294,"1x 【雙倍肉量】海南雞腿肉飯便當,1x 泰式海南雞腿肉飯便當"
8月15日,拉亞漢堡 (北市農安店),191,"2x KITKAT巧克力XL勁辣炸雞芝加哥堡,1x 黃金脆薯"
8月12日,金菊雞肉飯 (台北合江店),371,"1x 【雙倍肉量】海南雞腿肉飯便當,1x 泰式海南雞腿肉飯便當"
8月11日,(極)黃燜雞米飯 (台北寧夏店),379,"1x 酸湯魚,1x 酸湯牛"
8月9日,Top Thai泰鼎泰式料理 (台北敦化店),230,"1x 打抛豬肉飯盒餐例假日不提供,1x 泰式咖哩雞飯盒餐例假日不提供"
8月7日,阿財魚翅肉羹,251,2x 雞絲便當
8月6日,女王漢堡,401,2x 女王漢堡套餐
8月5日,金菊雞肉飯 (台北合江店),284,"1x 金菊雞腿肉飯便當,1x 寶島海南雞腿肉飯便當"
8月1日,金菊雞肉飯 (台北合江店),381,"1x 【雙倍肉量】海南雞腿肉飯便當,1x 【雙倍肉量】泰式海南雞腿肉飯便當"
7月30日,(極)黃燜雞米飯 (台北寧夏店),477,"1x 酸湯牛,1x 酸湯魚"
7月29日,阿財魚翅肉羹,251,2x 雞絲便當
7月29日,麥當勞 (S117 台北民權二店),424,2x 套餐-蕈菇安格斯牛肉堡 Mushroom Angus Beef Burger Meal
7月27日,ZAC ZAG 一楽炸雞（北車南陽店）,362,"1x 一人獨享餐 經典組合,1x 一人獨享餐 經典組合"
7月26日,天天分饗小火鍋 X 無限廚房 (台北中山店),343,"1x 泰式綠咖哩鍋,1x 泰式冬蔭功鍋,1x 蜂蜜檸檬 *2 (5折)"
7月22日,築本屋,382,2x 腰肉豬排定食
7月21日,真味肉圓 (台北錦州店),351,"1x 清蒸肉圓(4粒)大份,1x 肉粽(2粒)大份,1x 綜合四神湯(腸加肚)"
7月19日,女王漢堡,506,2x 女王漢堡套餐
7月18日,(極)黃燜雞米飯 (台北寧夏店),378,"1x 酸湯牛,1x 酸湯牛"
7月15日,阿財魚翅肉羹,251,2x 雞絲便當
7月11日,Pizza Hut必勝客 (台北吉林外送店),331,"1x 焗烤總匯千層麵【獨享餐】,1x 焗烤總匯千層麵【獨享餐】,1x 德國芝心腸【2條】"
7月10日,麥當勞 (S117 台北民權二店),364,"1x 套餐-蕈菇安格斯牛肉堡 Mushroom Angus Beef Burger Meal,1x 套餐-蕈菇主廚鷄腿堡 Mushroom Crispy Chicken Burger Meal"
7月5日,(極)黃燜雞米飯 (台北寧夏店),337,"1x 酸湯豬,1x 經典黃燜豬"
7月1日,台北橋孔魯肉飯,305,"1x 魯肉飯精緻餐,1x 破布子肉精緻餐"
6月29日,(極)黃燜雞米飯 (台北寧夏店),477,"1x 酸湯魚,1x 川香麻辣肥腸"
6月25日,想嗑酸菜魚 (誠品南西店),538,"1x 金湯酸菜魚,1x 川味水煮牛"
6月24日,昇客雞肉 (晴光總店),317,"1x 古早味炸燒肉(單點),1x 1/4隻後段【腿】,1x 滷七里香"
6月23日,麥當勞 (S117 台北民權二店),459,"1x 套餐-蕈菇安格斯牛肉堡 Mushroom Angus Beef Burger Meal,1x 套餐-蕈菇主廚鷄腿堡 Mushroom Crispy Chicken Burger Meal"
6月21日,肯德基KFC炸雞廚房 (台北雙連店),365,1x (CV)粽香脆雞雙人餐
6月20日,老牌張豬腳,447,"2x 腿庫便當,1x 滷豆腐,1x 筍絲"
6月19日,(極)黃燜雞米飯 (台北寧夏店),477,"1x 酸湯魚,1x 酸湯牛"
6月18日,女王漢堡,506,2x 女王漢堡套餐
6月16日,麥當勞 (S117 台北民權二店),459,2x 套餐-蕈菇安格斯牛肉堡 Mushroom Angus Beef Burger Meal
6月15日,(極)黃燜雞米飯 (台北寧夏店),378,"1x 酸湯魚,1x 酸湯牛"
6月14日,女王漢堡,506,2x 女王漢堡套餐
6月12日,Pizza Hut必勝客 (台北吉林外送店),336,"1x 羅勒雞腿排紙包筆管麵【獨享餐】,1x 焗烤總匯千層麵【獨享餐】"
6月11日,老牌張豬腳,447,"2x 腿庫便當,1x 滷豆腐,1x 筍絲"
6月10日,麥當勞 (S117 台北民權二店),469,1x 微牽絲分享餐 Slightly Stringy Cheese Patty Sharing Meal
6月7日,肯德基KFC炸雞漢堡店 (台北雙連店),410,"1x 花生熔岩咔啦雞腿漢堡 XL 套餐,1x 青花椒香麻咔啦雞腿漢堡 XL 套餐"
6月6日,(極)黃燜雞米飯 (台北寧夏店),354,"1x 酸湯魚,1x 酸湯牛"
6月5日,八方雲集 (中山吉林二店),304,"1x 菜肉大抄手【和風】,1x 酸辣湯,1x 咖哩雞肉鍋貼"
6月4日,女王漢堡,406,2x 女王漢堡套餐
6月2日,麥當勞 (S117 台北民權二店),364,"1x 套餐-蕈菇安格斯牛肉堡 Mushroom Angus Beef Burger Meal,1x 套餐-蕈菇主廚鷄腿堡 Mushroom Crispy Chicken Burger Meal"
5月30日,老牌張豬腳,381,"2x 腿庫便當,1x 滷豆腐,1x 筍絲"
5月28日,女王漢堡,431,2x 女王漢堡套餐
5月24日,女王漢堡,495,"1x 女王漢堡套餐,1x 女王漢堡套餐"
5月23日,老媽麵bar,312,"1x 無敵酸菜魚【麵】,1x 紅油QQ皮蛋【麵】,1x 時蔬燙青菜"
5月22日,麥當勞 (S117 台北民權二店),364,"1x 套餐-蕈菇安格斯牛肉堡 Mushroom Angus Beef Burger Meal,1x 套餐-蕈菇主廚鷄腿堡 Mushroom Crispy Chicken Burger Meal"
5月21日,老牌張豬腳,437,"2x 腿庫便當,1x 滷豆腐,1x 竹筍湯"
5月18日,女王漢堡,470,"1x 女王漢堡套餐,1x 女王漢堡套餐"
5月17日,老牌張豬腳,376,2x 腿庫便當
5月16日,老媽麵bar,404,"1x 無敵酸菜魚【飯】,1x 無敵酸菜魚【麵】"
5月15日,麥當勞 (S117 台北民權二店),328,"1x 套餐-蕈菇主廚鷄腿堡 Mushroom Crispy Chicken Burger Meal,1x 套餐-蕈菇安格斯牛肉堡 Mushroom Angus Beef Burger Meal"
5月14日,女王漢堡,480,"1x 女王漢堡套餐,1x 天王漢堡套餐"
5月13日,初喚滷肉飯,207,"1x 滑QQ控肉喚板豆腐套餐,1x 好粗滷肉喚板豆腐套餐,1x 超好吃刈包"
5月11日,Pizza Hut必勝客 (台北吉林外送店),254,1x 經典三重起司大比薩
5月9日,陶記越南美味,276,"1x 酸辣牛肉河粉,1x 牛肉河粉,1x 法國麵包"
5月7日,麥當勞 (S117 台北民權二店),370,"1x 套餐-蕈菇安格斯牛肉堡 Mushroom Angus Beef Burger Meal,1x 套餐-蕈菇安格斯牛肉堡 Mushroom Angus Beef Burger Meal"
5月4日,女王漢堡,380,"1x 女王漢堡套餐,1x 天王漢堡套餐"
5月1日,阿財魚翅肉羹,342,"1x 雞絲便當,1x 焢肉飯,1x 苦瓜排骨湯"
4月30日,麥當勞 (S117 台北民權二店),466,"1x 套餐-蕈菇安格斯牛肉堡 Mushroom Angus Beef Burger Meal,1x 套餐-蕈菇安格斯牛肉堡 Mushroom Angus Beef Burger Meal"
4月29日,1985窯烤披薩 (台北中山店),453,"1x 瑪格麗特窯烤披薩,1x 法式白醬燻鮭魚"
4月26日,麥當勞 (S117 台北民權二店),375,2x 套餐-蕈菇安格斯牛肉堡 Mushroom Angus Beef Burger Meal
4月20日,老媽麵bar,324,2x 無敵酸菜魚【飯】
4月19日,麥當勞 (S117 台北民權二店),354,"1x 套餐-大麥克 Big Mac Meal,1x 套餐-大麥克 Big Mac Meal"
4月17日,雙城美食街腿庫飯豬腳飯,357,"1x 腿庫飯,1x 腿庫飯、大腸,1x 筍絲"
4月15日,義料·之外,357,2x 火腿培根蛋義大利麵
4月13日,麥當勞 (S117 台北民權二店),456,"1x 套餐-蕈菇安格斯牛肉堡 Mushroom Angus Beef Burger Meal,1x 套餐-蕈菇安格斯牛肉堡 Mushroom Angus Beef Burger Meal"
4月12日,統一超商 (吉安店),309,"1x (冷藏出貨) 藍莓乳酪三明治 | 71 g,1x (加熱出貨) 御料小館x新馬辣麻辣燙 | 357g,2x (加熱出貨) 熱那亞羅勒義大利麵 392g"
4月11日,麥當勞 (S117 台北民權二店),456,"1x 套餐-蕈菇安格斯牛肉堡 Mushroom Angus Beef Burger Meal,1x 套餐-蕈菇安格斯牛肉堡 Mushroom Angus Beef Burger Meal"
4月8日,村民餐盒-伊通店,253,"1x 輕食減脂嫩雞飯,1x 北海嚴選鮭魚飯"
4月7日,肯德基KFC炸雞漢堡店 (台北雙連店),383,"1x 花生熔岩咔啦雞腿漢堡 XL 套餐,1x 青花椒香麻咔啦雞腿漢堡 XL 套餐"
4月6日,北倉洞韓式料理,378,2x 韓式牛肉豆腐鍋
4月1日,麥當勞 (S117 台北民權二店),456,"1x 套餐-蕈菇安格斯牛肉堡 Mushroom Angus Beef Burger Meal,1x 套餐-蕈菇安格斯牛肉堡 Mushroom Angus Beef Burger Meal"
3月31日,好想見麵 (台北行天宮店),261,"2x 香辣麻婆丼飯,1x 番茄湯餃 (6顆)"
3月30日,牛下來牛滷飯 (寧夏店),228,"1x 招牌牛滷飯,1x 麻辣牛滷飯"
3月29日,Burger Holic漢堡門徒 (台北小巨蛋店),500,"1x 墨西哥毒梟雞肉堡套餐 Jalapeno Chicken Burger Combo,1x 墨西哥毒梟雞肉堡套餐 Jalapeno Chicken Burger Combo"
3月26日,阿財魚翅肉羹,342,"1x 雞絲便當,1x 焢肉飯,1x 金針排骨湯"
3月25日,Burger Holic漢堡門徒 (台北小巨蛋店),499,"1x 墨西哥毒梟雞肉堡套餐 Jalapeno Chicken Burger Combo,1x 墨西哥毒梟雞肉堡套餐 Jalapeno Chicken Burger Combo"
3月19日,北倉洞韓式料理,477,"1x 韓式豬肉豆腐鍋,1x 韓式牛肉豆腐鍋"
3月18日,阿財魚翅肉羹,342,"1x 雞絲便當,1x 苦瓜排骨湯,1x 焢肉飯"
3月17日,Burger Holic漢堡門徒 (台北小巨蛋店),499,"1x 墨西哥毒梟雞肉堡套餐 Jalapeno Chicken Burger Combo,1x 墨西哥毒梟雞肉堡套餐 Jalapeno Chicken Burger Combo"
3月16日,麥當勞 (S117 台北民權二店),466,"1x 套餐-蕈菇安格斯牛肉堡 Mushroom Angus Beef Burger Meal,1x 套餐-蕈菇安格斯牛肉堡 Mushroom Angus Beef Burger Meal,1x OREO草莓冰炫風  OREO Strawberry McFlurry"
3月10日,Burger Holic漢堡門徒 (台北小巨蛋店),444,2x 墨西哥毒梟雞肉堡套餐 Jalapeno Chicken Burger Combo
3月9日,阿財魚翅肉羹,342,"1x 雞絲便當,1x 梅干扣肉飯,1x 金針排骨湯"
3月8日,Burger Holic漢堡門徒 (台北小巨蛋店),444,"1x 墨西哥毒梟雞肉堡套餐 Jalapeno Chicken Burger Combo,1x 門徒炸雞堡套餐 Fried Chicken Burger  Combo"
3月5日,阿財魚翅肉羹,302,"1x 梅干扣肉飯,1x 金針排骨湯,1x 焢肉飯"
3月4日,阿財魚翅肉羹,342,"1x 雞絲便當,1x 梅干扣肉飯,1x 金針排骨湯"
3月3日,Burger Holic漢堡門徒 (台北小巨蛋店),452,"1x 芝麻葉瑪芝瑞拉牛肉堡套餐 Arugula Mozzarella Beef Burger  Combo,1x 芝麻葉瑪芝瑞拉牛肉堡套餐 Arugula Mozzarella Beef Burger  Combo"
2月29日,阿財魚翅肉羹,264,"1x 雞絲便當,1x 梅干扣肉飯"
2月29日,成都滿庭芳 川式料理,334,1x 滿庭芳金湯酸菜魚(大)(適1-2人)
2月28日,北倉洞韓式料理,477,2x 韓式牛肉豆腐鍋
2月28日,Burger Holic漢堡門徒 (台北小巨蛋店),488,"1x 墨西哥毒梟雞肉堡套餐 Jalapeno Chicken Burger Combo,1x 花生培根牛肉堡套餐 Peanut Butter Beef Burger  Combo"
2月27日,成都滿庭芳 川式料理,334,1x 滿庭芳金湯酸菜魚(大)(適1-2人)
2月26日,築本屋,450,"2x 腰肉豬排定食,1x 可樂餅 X2"
2月25日,Burger Holic漢堡門徒 (台北小巨蛋店),439,"1x 墨西哥毒梟雞肉堡套餐 Jalapeno Chicken Burger Combo,1x 門徒炸雞堡套餐 Fried Chicken Burger  Combo"
2月24日,阿財魚翅肉羹,233,"1x 雞絲便當,1x 梅干扣肉飯"
2月22日,義料·之外,478,"2x 火腿培根蛋義大利麵,1x 綠色炸彈"
2月20日,肯德基KFC炸雞漢堡店 (台北雙連店),437,2x 花生熔岩咔啦雞腿漢堡 XL 套餐
2月19日,珍美味火雞肉飯 (台北龍江店),253,"1x 魯白菜,1x 脆筍扣肉便當,1x 火雞肉便當"
